SUID,cooc_method,interaction,interactionType,Label,method_number,method_scores,methodname_interactiontype,methodname_pval,methodname_score,name,nulldistribmean,nulldistribmedian,nulldistribsd,oriScore,pval,pval-simes-merge,qval,randdistribMean,randdistribMedian,randdistribNumNonNaNScores,randdistribSD,selected,shared interaction,shared name,weight
8125,dist_kullbackleibler|dist_bray,,mutualExclusion,DW00098->DW00762,2,14.676644345456717|0.9843753733265947,dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion,dist_kullbackleibler=3.6939766342891645E-4|dist_bray=0.2929599268523354,dist_kullbackleibler=14.676644345456717|dist_bray=0.9843753733265947,DW00098->DW00762,12.3263876,12.42336968,1.191734754,14.67664435,3.69E-04,3.69E-04,0.001117359,14.579999098928745|0.9834343414076548,14.614950838530847|0.984413059451059,1000.0|1000.0,0.44593522604568436|0.005306735347654589,FALSE,,DW00098->DW00762,0.001117359
8129,dist_kullbackleibler|dist_bray,,mutualExclusion,DW00098->DW01046,2,14.993412177929438|0.9782179453661626,dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion,dist_kullbackleibler=0.009731103251849338|dist_bray=0.21459079192473762,dist_kullbackleibler=14.993412177929438|dist_bray=0.9782179453661626,DW00098->DW01046,10.96516437,11.19450961,1.323028769,14.99341218,0.009731103,0.009731103,0.022811952,14.112432245700814|0.9766554551097474,14.738785308559082|0.9771983764386205,1000.0|1000.0,1.8143225041303164|0.005485299517573696,FALSE,,DW00098->DW01046,0.022811952
8132,dist_kullbackleibler|dist_bray,,copresence,DW01166->DW01244,2,0.1733038259678703|0.13932124324429296,dist_kullbackleibler=copresence|dist_bray=copresence,dist_kullbackleibler=0.0|dist_bray=1.9623899215504004E-5,dist_kullbackleibler=0.1733038259678703|dist_bray=0.13932124324429296,DW01166->DW01244,4.363095415,4.346215405,0.382673406,0.173303826,0,0,0,0.17228153543620714|0.1393346110773223,0.1693139498847635|0.13907749076392567,1000.0|1000.0,0.031019850413427155|0.014463347298441943,FALSE,,DW01166->DW01244,0
8134,dist_bray|dist_kullbackleibler,,copresence,DW01166->DW01243,2,0.13592570103246127|0.2294175944364553,dist_bray=copresence|dist_kullbackleibler=copresence,dist_bray=1.9104622879195787E-4|dist_kullbackleibler=0.0,dist_bray=0.13592570103246127|dist_kullbackleibler=0.2294175944364553,DW01166->DW01243,0.631131883,0.632748745,0.030184567,0.135925701,0,0,0,0.13825087180712015|0.22767858925914236,0.13687189198309951|0.22212094762487017,1000.0|1000.0,0.01925310681218508|0.05435439608498357,FALSE,,DW01166->DW01243,0
8137,dist_kullbackleibler|dist_bray,,copresence,DW01155->DW01145,2,0.1716414629742575|0.09702058184989715,dist_kullbackleibler=copresence|dist_bray=copresence,dist_kullbackleibler=0.0|dist_bray=5.00395601545911E-5,dist_kullbackleibler=0.1716414629742575|dist_bray=0.09702058184989715,DW01155->DW01145,4.180551077,4.16719607,0.37267936,0.171641463,0,0,0,0.17076716064440212|0.09875282322702461,0.16731081453222274|0.09663794410289744,1000.0|1000.0,0.05292466452677451|0.018106054253595266,FALSE,,DW01155->DW01145,0
8138,dist_kullbackleibler|dist_bray,,mutualExclusion,DW00428->DW00626,2,14.274129259544043|0.9812186053248314,dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion,dist_kullbackleibler=0.008586878131636833|dist_bray=0.263343484306777,dist_kullbackleibler=14.274129259544043|dist_bray=0.9812186053248314,DW00428->DW00626,12.05128883,12.17033402,1.303995698,14.27412926,0.008586878,0.008586878,0.020404297,14.111910087924654|0.9793506387787816,14.19551660041092|0.980450263161309,1000.0|1000.0,0.7477569699001755|0.00593142386125889,FALSE,,DW00428->DW00626,0.020404297
8149,dist_kullbackleibler|correl_spearman,,copresence,DW01021->DW00571,2,0.2099009956124555|0.9753553693946403,dist_kullbackleibler=copresence|correl_spearman=copresence,dist_kullbackleibler=0.0|correl_spearman=0.0,dist_kullbackleibler=0.2099009956124555|correl_spearman=0.9753553693946403,DW01021->DW00571,7.871727687,7.9686995,0.782873567,0.209900996,0,0,0,0.1735148526707494|0.9740999407921741,0.18720640857942222|0.974629748685562,1000.0|1000.0,0.08927887584427704|0.007158457963821284,FALSE,,DW01021->DW00571,0
8152,correl_pearson|correl_spearman,,copresence,DW00959->DW00963,2,0.9628927117847458|0.9595655964519921,correl_pearson=copresence|correl_spearman=copresence,correl_pearson=0.008818770490552907|correl_spearman=0.0,correl_pearson=0.9628927117847458|correl_spearman=0.9595655964519921,DW00959->DW00963,-0.001222891,-0.01311689,0.075872592,0.962892712,0,0,0,0.8738988861222373|0.9574582865239577,0.9573153809827655|0.9584019864931281,1000.0|1000.0,0.1359846807693544|0.009370471128139596,FALSE,,DW00959->DW00963,0
8159,dist_kullbackleibler|dist_bray,,mutualExclusion,DW00626->DW00978,2,15.353837200352553|0.9737121642372412,dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion,dist_kullbackleibler=0.0013765331836490535|dist_bray=0.375501370911028,dist_kullbackleibler=15.353837200352553|dist_bray=0.9737121642372412,DW00626->DW00978,11.84568216,11.95659936,1.30960933,15.3538372,0.001376533,0.001376533,0.003745522,14.979825859313456|0.9711657084608305,15.24338639849577|0.9729600291180156,1000.0|1000.0,1.09577548736343|0.009260618941356468,FALSE,,DW00626->DW00978,0.003745522
8167,correl_spearman|correl_pearson,,copresence,DW00394->DW00850,2,0.9653206367124465|0.9370312451773959,correl_spearman=copresence|correl_pearson=copresence,correl_spearman=0.0|correl_pearson=1.5727586497965573E-4,correl_spearman=0.9653206367124465|correl_pearson=0.9370312451773959,DW00394->DW00850,-0.002338683,-5.37E-04,0.074462911,0.965320637,0,0,0,0.9639393098179907|0.9157106141180386,0.9646390626304278|0.9327037665487723,1000.0|1000.0,0.00798695736825876|0.06480299181525638,FALSE,,DW00394->DW00850,0
8176,dist_bray|dist_kullbackleibler,,copresence,DW01242->DW01145,2,0.13878630941939563|0.2712693889257339,dist_bray=copresence|dist_kullbackleibler=copresence,dist_bray=0.004177310086281416|dist_kullbackleibler=0.0,dist_bray=0.13878630941939563|dist_kullbackleibler=0.2712693889257339,DW01242->DW01145,0.623326353,0.62373995,0.030018976,0.138786309,0,0,0,0.14125067295901772|0.26119850439945386,0.13819732694847603|0.25596696474412206,1000.0|1000.0,0.03341035157745455|0.09983926452005841,FALSE,,DW01242->DW01145,0
8187,correl_spearman|dist_kullbackleibler,,copresence,DW01230->DW01225,2,0.9751449907130134|0.22594457195112955,correl_spearman=copresence|dist_kullbackleibler=copresence,correl_spearman=0.0|dist_kullbackleibler=0.0,correl_spearman=0.9751449907130134|dist_kullbackleibler=0.22594457195112955,DW01230->DW01225,-0.007058114,-0.005810055,0.070765877,0.975144991,0,0,0,0.9736925399183802|0.2201806754144129,0.9742159585301193|0.22024724127474443,1000.0|1000.0,0.0069619797079649905|0.031093467055503796,FALSE,,DW01230->DW01225,0
8188,dist_kullbackleibler|correl_pearson,,copresence,DW01230->DW01223,2,0.25073080499316563|0.9250855385339254,dist_kullbackleibler=copresence|correl_pearson=copresence,dist_kullbackleibler=0.0|correl_pearson=6.621115322680282E-10,dist_kullbackleibler=0.25073080499316563|correl_pearson=0.9250855385339254,DW01230->DW01223,6.346676789,6.36433334,0.636486543,0.250730805,0,0,0,0.2543731716244397|0.9253466173906615,0.24353670637685942|0.928070500598426,1000.0|1000.0,0.07870708915815205|0.023317171255748496,FALSE,,DW01230->DW01223,0
